column,run,charge_ave,charge_ave_err,IPM2C21A_corr3,IPM2C24A_corr3,IPM2H01_corr3
0,18305,0.031919696,9.97837E-05,0.031778581,0.031989994,0.031990514
1,18306,0.397267776,0.000444205,0.39689889,0.397892581,0.397011857
2,18307,0.119186369,0.000307377,0.11923889,0.11953381,0.118786408
3,18308,0.002699892,1.18032E-06,0.002698803,0.002699341,0.002701532
4,18309,0.239848038,0.000248581,0.239716976,0.240196068,0.239631069
5,18310,0.041813298,0.000139002,0.04183052,0.041974275,0.041635099
6,18311,0.048020117,0.000103306,0.048066256,0.048117097,0.047876999
7,18312,0.259043133,0.000309933,0.258765025,0.259475579,0.258888793
8,18314,0.000157449,1.84169E-05,0.000175866,0.000139032,
9,18316,0.036834223,0.000634546,0.035942263,0.037194895,0.037365512
10,18318,0.017787065,0.000128296,0.017610249,0.017840234,0.017910713
11,18319,0.033547307,1.62833E-05,0.033541591,0.033569483,0.033530846
12,18321,0.08552345,3.87352E-05,0.08548139,0.085514086,0.085574875
13,18322,0.000258573,2.07863E-05,0.000237787,0.00027936,
14,18324,0.08173652,2.76843E-05,0.081758966,0.081753078,0.081697516
15,18325,0.156889479,0.000349122,0.157364166,0.156769751,0.156534519
16,18326,0.132751777,0.000336375,0.132891173,0.133075969,0.13228819
17,18327,0.007970472,7.46722E-06,0.007960035,0.007977085,0.007974296
18,18328,0.067879685,8.823E-05,0.067797467,0.068002077,0.06783951
19,18329,0.115893412,8.5957E-05,0.115856171,0.116012245,0.115811818
20,18330,0.221431346,0.000260718,0.221338203,0.221786874,0.221168962
21,18331,0.325550362,0.000260007,0.325295373,0.325907293,0.325448421
22,18332,0.04035641,4.08579E-05,0.040298764,0.040388655,0.040381812
23,18333,0.014964518,9.86377E-06,0.014954754,0.014978027,0.014960772
24,18334,0.012979893,2.54523E-05,0.012988495,0.013005862,0.012945323
25,18335,0.326533802,0.000232525,0.326223323,0.326782871,0.32659521
26,18336,0.16076279,0.000238402,0.160641391,0.161095887,0.160551093
27,18337,0.001684722,1.02851E-05,0.001670444,0.001689458,0.001694264
28,18338,0.003284777,1.56602E-05,0.003265183,0.003285635,0.003303514
29,18339,0.018865308,7.33973E-05,0.018762144,0.018906951,0.018926827
30,18340,0.040437536,4.07395E-05,0.04040645,0.040495088,0.040411069
31,18341,0.05717631,8.89388E-05,0.057062747,0.057279918,0.057186266
32,18342,0.131586349,0.000139007,0.131399267,0.131732186,0.131627593
33,18343,0.054239495,6.04987E-05,0.054154444,0.05427396,0.05429008
34,18344,0.092069649,4.54344E-05,0.092084965,0.092116032,0.092007949
35,18345,0.172727669,0.000112773,0.172574742,0.172843334,0.172764931
36,18346,0.09158385,3.06211E-05,0.091551123,0.091624773,0.091575654
37,18347,0.050909155,3.51491E-05,0.050938489,0.050929241,0.050859734
38,18348,0.086017032,6.12241E-05,0.08608483,0.085936495,0.086029772
39,18349,0.114711872,9.66765E-05,0.1146846,0.114841532,0.114609483
40,18350,0.186026528,0.000379126,0.186194645,0.186383385,0.185501553
41,18351,0.043579728,2.65208E-05,0.043542655,0.043593342,0.043603187
42,18352,0.255764341,0.000396478,0.256037899,0.256051434,0.255203691
43,18353,0.035942092,2.58983E-05,0.035956397,0.035964139,0.03590574
44,18354,0.78781585,0.000819343,0.788562891,0.788209422,0.786675237
45,18355,0.22281978,0.000269477,0.222781193,0.223167417,0.222510729
46,18356,0.300771476,0.000338772,0.301248462,0.300571885,0.300494083
47,18358,0.075326589,9.48601E-05,0.075457914,0.075237199,0.075284654
48,18359,0.24277527,0.000340034,0.243237027,0.242660669,0.242428115
49,18360,0.40280604,0.000475559,0.403258691,0.403010486,0.402148942
50,18361,0.497123581,0.000696273,0.497618878,0.497612958,0.496138908
51,18362,0.178167347,0.000252946,0.178288829,0.178397989,0.177815223
52,18363,0.019020421,1.24794E-05,0.019026254,0.019031929,0.019003079
53,18364,0.011827093,6.41061E-05,0.01187759,0.011736638,0.011867052
54,18365,0.613857341,0.000937985,0.615148347,0.613475848,0.612947827
55,18366,0.200748025,0.000443729,0.201264443,0.200798566,0.200181065
56,18368,0.334151417,0.000429876,0.334725248,0.334038364,0.333690638
57,18369,0.388768643,0.00090564,0.389983652,0.388511983,0.387810294
58,18370,0.038171704,9.3392E-05,0.038301523,0.038085739,0.038127849
59,18371,0.372637355,0.000986054,0.374017297,0.37177339,0.372121378
60,18372,0.201433765,9.11494E-05,0.201407407,0.20155622,0.201337667
61,18373,0.204771984,0.000125488,0.204616744,0.204924078,0.204775131
62,18375,0.042729018,8.09174E-05,0.042786251,0.042786218,0.042614583
63,18376,0.943916972,0.001334108,0.94572104,0.943493237,0.942536639
64,18377,0.408193272,0.00031979,0.408501288,0.408326044,0.407752483
65,18379,1.06352414,0.000730501,1.064246483,1.063802587,1.062523349
66,18380,0.708228449,0.000712052,0.708717105,0.708746643,0.707221599
67,18382,0.052164434,1.54894E-05,0.052158852,0.052185569,0.05214888
68,18383,0.996685715,0.000536115,0.997357772,0.996653633,0.99604574
69,18384,0.817033929,0.364526846,1.075476774,1.07410929,0.301515724
70,18385,0.366752406,0.000119269,0.366871676,0.366633137,
71,18386,0.167133107,0.00012586,0.167258967,0.167007247,
72,18387,0.096430515,0.000119327,0.096549842,0.096311188,
73,18388,0.154698233,7.69532E-05,0.154775186,0.15462128,
74,18389,0.007086341,1.13156E-05,0.007097657,0.007075026,
75,18391,0.250828097,0.000264296,0.251195891,0.250586543,0.250701857
76,18392,0.670116627,0.000666533,0.670936024,0.670110461,0.669303395
77,18394,0.462560356,0.00103245,0.463935081,0.462299052,0.461446934
78,18396,0.010413253,8.38034E-06,0.010420512,0.01040151,0.010417737
79,18397,0.020691285,4.84705E-05,0.020703954,0.020743291,0.020626609
80,18398,0.007072858,6.06416E-05,0.007130436,0.007099111,0.006989026
81,18399,0.258876578,0.000120238,0.258947875,0.258974621,0.258707238
82,18400,0.060606023,0.000156708,0.06082006,0.060548776,0.060449233
83,18401,0.132543554,0.000359841,0.133049056,0.132341583,0.132240021
85,18419,0.10371671,0.000229995,0.103991852,0.103428908,0.10372937
86,18420,0.026121232,7.37103E-05,0.026207601,0.0260275,0.026128596
87,18421,0.165757921,0.00010581,0.165901942,0.165721079,0.165650741
88,18422,0.175941958,0.000473605,0.176603193,0.175703691,0.175518989
89,18423,0.13575266,0.000399426,0.136283017,0.135655867,0.135319098
90,18424,0.160131587,0.000326966,0.160590987,0.15985635,0.159947423
91,18425,0.159366704,0.000368094,0.159887165,0.159115433,0.159097514
92,18426,0.145902379,0.000275483,0.146246165,0.145571757,0.145889214
93,18427,0.022946483,5.44992E-05,0.022973233,0.022870509,0.022995706
94,18428,0.051999923,8.25998E-05,0.052115654,0.051955799,0.051928316
95,18429,0.070096738,0.000129012,0.070217834,0.069918004,0.070154376
96,18430,0.052477074,1.88704E-05,0.052466233,0.052503613,0.052461376
97,18431,0.205105837,0.000362721,0.205584292,0.204706419,0.2050268
98,18432,0.159515121,0.000374697,0.160033258,0.15915989,0.159352215
99,18433,0.239047584,0.000356503,0.239492869,0.238620169,0.239029713
100,18434,0.236212043,0.000375611,0.236743225,0.235949674,0.235943231
101,18435,0.246259843,0.000664412,0.247153273,0.24606512,0.245561134
102,18436,0.218683524,0.000434019,0.219274648,0.218244825,0.2185311
103,18437,0.242181835,0.000480955,0.242854087,0.24175607,0.241935349
104,18438,0.148569817,0.000266327,0.148944896,0.148411973,0.148352581
105,18439,0.096008422,0.000185755,0.096271118,0.095876398,0.09587775
106,18440,0.021409655,9.61134E-05,0.021399139,0.021297551,0.021532274
107,18441,0.058376027,9.9508E-05,0.058499264,0.058255568,0.058373251
108,18442,0.059119247,9.49143E-05,0.059250973,0.059031039,0.059075729
109,18443,0.039595818,0.000118431,0.039762198,0.03949598,0.039529276
110,18444,0.04523127,0.000136881,0.045424846,0.045135573,0.045133392
111,18445,0.269821781,0.000634523,0.270716293,0.269436297,0.269312753
112,18446,0.253627025,0.000440153,0.254223079,0.253173624,0.25348437
113,18447,0.072084335,9.80676E-05,0.072222768,0.072022418,0.072007821
114,18448,0.141775711,0.000205383,0.142064303,0.141602963,0.141659867
115,18449,0.068509891,6.78606E-05,0.068604929,0.068473926,0.068450819
116,18450,0.16050247,0.00029657,0.160893582,0.16043808,0.160175749
117,18451,0.251116421,0.000226873,0.251421119,0.250877031,0.251051113
118,18452,0.25488341,0.000249163,0.255235747,0.254711368,0.254703114
119,18453,0.264614433,0.000237129,0.264922178,0.264345171,0.264575951
120,18454,0.254030006,0.000345954,0.254517245,0.253747985,0.253824788
121,18455,0.153630405,0.00018525,0.153892132,0.153489508,0.153509575
122,18456,0.00224111,7.19905E-06,0.002249169,0.002242469,0.002231693
123,18458,0.082118515,0.000149269,0.082328926,0.082028053,0.081998565
124,18459,0.252363164,0.000206537,0.252601815,0.252097993,0.252389684
125,18460,0.253391037,0.000261204,0.253760254,0.253196411,0.253216444
126,18461,0.209178119,0.000182526,0.209407117,0.208960452,0.209166787
127,18463,0.266346409,0.000270361,0.26671412,0.26607181,0.266253298
128,18464,0.264891987,0.000280226,0.265262591,0.264585116,0.264828253
129,18465,0.256974357,0.000272724,0.257342866,0.256691522,0.256888683
130,18468,0.252957803,0.00028258,0.253343773,0.252675111,0.252854524
131,18469,0.262653302,0.000373853,0.263181106,0.26236265,0.262416149
132,18470,0.18305665,0.00018344,0.183309629,0.182880396,0.182979924
133,18472,0.135885772,0.000207379,0.136176452,0.135706699,0.135774164
134,18473,0.29355055,0.000532228,0.294301841,0.29313527,0.293214538
135,18474,0.299880335,0.000447431,0.300509438,0.299506929,0.299624636
136,18475,0.289616591,0.000477114,0.290290947,0.289259695,0.289299131
137,18476,0.297309913,0.000377115,0.297819759,0.296919469,0.297190512
138,18477,0.292706486,0.000398166,0.293243395,0.29229106,0.292585003
139,18478,0.296692881,0.000429388,0.297284495,0.296278516,0.296515633
140,18479,0.09993449,0.000147005,0.100142007,0.099819864,0.099841598
141,18480,0.293670146,0.000422614,0.294235475,0.293219534,0.293555429
142,18481,0.287469465,0.000381034,0.287986535,0.287079556,0.287342304
143,18482,0.008929959,1.34081E-05,0.008945308,0.008912642,0.008931928
144,18484,0.002420847,2.77272E-05,0.002443226,0.002381773,0.002437543
145,18485,0.006582555,3.10961E-05,0.006608906,0.006538889,0.006599871
146,18486,0.319354027,0.000502609,0.320051634,0.318887188,0.319123259
147,18487,0.276430211,0.000414725,0.276973036,0.275966442,0.276351156
148,18489,0.291709284,0.000405185,0.292272628,0.29133681,0.291518413
149,18490,0.310829913,0.000707295,0.311777124,0.310077935,0.310634679
150,18491,0.29781652,0.000543703,0.298584982,0.297409513,0.297455065
151,18492,0.188613166,0.000288019,0.189020218,0.188396831,0.18842245
152,18493,0.30865846,0.00038916,0.30919725,0.308291871,0.308486258
153,18494,0.303587395,0.000474074,0.304216392,0.303071922,0.303473872
154,18495,0.135310337,0.00021988,0.13558731,0.135049436,0.135294266
155,18496,0.313866528,0.000488374,0.314511258,0.313329673,0.313758654
156,18497,0.305721715,0.000488276,0.306378706,0.305209123,0.305577314
157,18498,0.077346001,0.000157046,0.077568095,0.077235763,0.077234143
158,18505,0.10282063,0.000151172,0.103033253,0.10273364,0.102694999
159,18506,0.054454093,0.000120838,0.054613005,0.054429072,0.054320203
160,18507,0.214878129,0.000410554,0.215440662,0.214721357,0.214472368
161,18508,0.314215376,0.000605386,0.31504935,0.313966029,0.31363075
162,18509,0.31359421,0.000564087,0.314379412,0.313323615,0.313079604
163,18510,0.31604368,0.000554314,0.31681445,0.31578211,0.315534478
164,18511,0.064592577,9.64224E-05,0.06472825,0.064512881,0.064536601
165,18512,0.309300082,0.000517307,0.310030958,0.308906798,0.308962491
166,18513,0.30789066,0.000425407,0.308465916,0.307755568,0.307450497
167,18514,0.313746799,0.000577438,0.314525002,0.313572066,0.31314333
168,18515,0.296974843,0.000629724,0.297832326,0.296754356,0.296337846
169,18516,0.309476135,0.000523777,0.310203891,0.308992711,0.309231803
170,18518,0.308858337,0.000329963,0.309324946,0.308620545,0.308629518
171,18519,0.312464919,0.000520747,0.313150128,0.312356053,0.311888577
172,18520,0.096273723,0.000168351,0.096412756,0.096371584,0.096036829
173,18521,0.324944378,0.000429714,0.325545186,0.324723048,0.324564899
174,18522,0.340697249,0.000592895,0.341455982,0.340626963,0.340008803
175,18523,0.026176505,6.26495E-05,0.026265064,0.026129922,0.026134527
176,18524,0.327986534,0.000258365,0.328344406,0.327871432,0.327743765
177,18528,0.28293769,0.00019317,0.283210219,0.282817787,0.282785064
178,18529,0.29412128,0.00039568,0.294640665,0.294041928,0.293681246
179,18530,0.294545202,0.00036941,0.29505922,0.294369029,0.294207356
180,18532,0.283528661,0.000347524,0.28401155,0.283366422,0.283208012
181,18533,0.305232182,0.00045969,0.305879521,0.304960342,0.304856684
182,18534,0.087577924,0.000134951,0.087598759,0.0877318,0.087403213
183,18535,0.080814581,0.000127611,0.080992452,0.080752063,0.080699226
184,18536,0.291759627,0.000440321,0.292367316,0.291573514,0.291338052
185,18537,0.284328937,0.000429802,0.284934825,0.28406806,0.283983927
186,18538,0.126206992,0.000254208,0.126556493,0.126105175,0.125959309
187,18539,0.302094818,0.000531413,0.30284619,0.301705718,0.301732545
188,18540,0.305426796,0.00047201,0.306091926,0.30504532,0.305143143
189,18541,0.300111809,0.000486447,0.300791186,0.299865831,0.299678409
190,18542,0.120576336,0.000224392,0.12089311,0.120401574,0.120434324
191,18543,0.292568426,0.00053423,0.293323443,0.292167138,0.292214699
192,18545,0.192820571,0.000333455,0.193292015,0.192575209,0.192594487
193,18546,0.056433115,7.9019E-05,0.056544864,0.056376935,0.056377546
194,18547,0.289657247,0.000523773,0.290397761,0.289271592,0.289302389
195,18548,0.2961642,0.000467053,0.296824399,0.295851706,0.295816494
196,18549,0.059440749,0.00013492,0.059630854,0.059359846,0.059331548
197,18550,0.00817164,2.11108E-05,0.008199375,0.008167343,0.008148202
198,18551,0.286692186,0.000603038,0.287544482,0.286240039,0.286292038
199,18552,0.297766804,0.000538484,0.298527752,0.297360527,0.297412134
200,18553,0.065970377,9.66065E-05,0.066106743,0.065909435,0.065894952
201,18554,0.296426577,0.00048197,0.297107029,0.296051985,0.296120716
202,18555,0.297741217,0.000457644,0.298385262,0.297363858,0.297474533
203,18556,0.045058183,8.06816E-05,0.045164926,0.045039722,0.044969902
204,18557,0.03096454,0.000227523,0.030862048,0.030751644,0.031279929
205,18559,0.12938844,0.000260912,0.129756724,0.129184603,0.129223994
206,18560,0.010439717,2.6444E-05,0.010477045,0.010419072,0.010423035
207,18561,0.772779703,0.00247709,0.776272221,0.771269453,0.770797434
208,18562,0.039413902,0.000102316,0.03954829,0.039300258,0.039393157
209,18563,0.249950477,0.000605852,0.25080399,0.24945874,0.249588701
210,18564,0.845492767,0.002449089,0.848956301,0.843760552,0.843761448
211,18565,0.268954742,0.000906659,0.270231283,0.268420776,0.268212168
212,18566,0.469632849,0.001393663,0.4716032,0.468689249,0.468606096
213,18567,0.103529074,0.000323059,0.103985412,0.103320073,0.103281736
214,18569,0.07810441,0.000244507,0.078446667,0.077975956,0.077890609
215,18570,0.001617806,5.61603E-06,0.001624887,0.00161738,0.00161115
216,18571,0.205324211,0.000613607,0.206185533,0.2048021,0.204985001
217,18572,0.100862341,0.000337356,0.101336658,0.100669697,0.100580669
218,18573,0.846908404,0.002393882,0.850292848,0.845288019,0.845144346
219,18574,0.89980439,0.002990663,0.904020924,0.897981997,0.897410247
220,18575,0.887859192,0.002643854,0.891587994,0.886233488,0.885756096
221,18576,0.898181153,0.002783934,0.902100431,0.896545372,0.895897658
222,18577,0.517005422,0.001778567,0.519518963,0.515829501,0.515667802
223,18578,0.211752181,0.000695728,0.212735752,0.211282674,0.211238117
